num_corre,año_ocu,dia_ocu,hora_ocu,g_hora,g_hora_hum,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,Guatemala,Palencia,,Hombre,38,35-39,35-39,35 - 39,,Mayor,Pick up,Nissan,Negro,2017,2010-2019,Colisión
2,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,Guatemala,Palencia,,Hombre,17,15-19,15-19,15 - 19,,Menor,Motocicleta,Freedom,Negro,2017,2010-2019,Colisión
3,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Hombre,52,50-54,50-54,50 - 54,,Mayor,Pick up,Nissan,Gris,1986,1980-1989,Colisión
4,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,Guatemala,Guatemala,18,Hombre,22,20-24,20-24,20 - 24,,Mayor,Motocicleta,Bajaj,Azul,2022,2020-2029,Colisión
5,2023,1,20,18:00 a 23:59,18,Noche,Enero,Domingo,Guatemala,Guatemala,6,Hombre,30,30-34,30-34,30 - 34,,Mayor,Motocicleta,Bajaj,Negro,2021,2020-2029,Derrape
6,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,22,20-24,20-24,20 - 24,,Mayor,Motocicleta,Suzuki,Gris,2021,2020-2029,Choque
7,2023,1,23,18:00 a 23:59,18,Noche,Enero,Domingo,Guatemala,Guatemala,13,Hombre,48,45-49,45-49,45 - 49,,Mayor,Motocicleta,,Gris,,,Derrape
8,2023,1,23,18:00 a 23:59,18,Noche,Enero,Domingo,Guatemala,Guatemala,12,Hombre,42,40-44,40-44,40 - 44,,Mayor,Automóvil,Toyota,Blanco,2009,2000-2009,Colisión
9,2023,1,23,18:00 a 23:59,18,Noche,Enero,Domingo,Guatemala,Guatemala,12,Hombre,37,35-39,35-39,35 - 39,,Mayor,Motocicleta,Asia Hero,Rojo,2022,2020-2029,Colisión
10,2023,1,10,06:00 a 11:59,6,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Mujer,43,40-44,40-44,40 - 44,,Mayor,Camioneta,Honda,Gris,2018,2010-2019,Colisión
11,2023,1,10,06:00 a 11:59,6,Mañana,Enero,Domingo,Guatemala,Guatemala,12,Hombre,18,15-19,15-19,15 - 19,,Mayor,Motocicleta,TVS Apache,Negro,2022,2020-2029,Colisión
12,2023,1,17,12:00 a 17:59,12,Tarde,Enero,Domingo,Guatemala,Villa Canales,,Hombre,21,20-24,20-24,20 - 24,,Mayor,Pick up,,,,,Choque
13,2023,1,10,06:00 a 11:59,6,Mañana,Enero,Domingo,Guatemala,Villa Canales,,Hombre,27,25-29,25-29,25 - 29,,Mayor,Motocicleta,Asia Hero,Azul,,,Choque
14,2023,1,0,00:00 a 05:59,0,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,,Hombre,38,35-39,35-39,35 - 39,,Mayor,Motocicleta,Haojue,Azul,2019,2010-2019,Choque
15,2023,1,23,18:00 a 23:59,18,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,,Hombre,22,20-24,20-24,20 - 24,,Mayor,Motocicleta,,,,,Derrape
16,2023,1,1,00:00 a 05:59,0,Mañana,Enero,Domingo,Guatemala,San Juan Sacatepéquez,,Hombre,23,20-24,20-24,20 - 24,,Mayor,Motocicleta,,,,,Derrape
17,2023,1,8,06:00 a 11:59,6,Mañana,Enero,Domingo,Zacapa,Usumatlán,,Hombre,35,35-39,35-39,35 - 39,,Mayor,Cabezal,Freightliner,Blanco,,,Colisión
18,2023,1,8,06:00 a 11:59,6,Mañana,Enero,Domingo,Zacapa,Usumatlán,,Hombre,,,,,,Mayor,Automóvil,Mazda,Corinto,,,Colisión
19,2023,1,2,00:00 a 05:59,0,Mañana,Enero,Domingo,Escuintla,La Gomera,,Hombre,21,20-24,20-24,20 - 24,,Mayor,Motocicleta,,,,,Choque
20,2023,1,14,12:00 a 17:59,12,Tarde,Enero,Domingo,Escuintla,Escuintla,,Hombre,25,25-29,25-29,25 - 29,,Mayor,Motocicleta,,,,,Derrape
21,2023,1,22,18:00 a 23:59,18,Noche,Enero,Domingo,Escuintla,Nueva Concepción,,Hombre,27,25-29,25-29,25 - 29,,Mayor,Motocicleta,Bajaj,Rojo,,,Derrape
22,2023,1,3,00:00 a 05:59,0,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,,Hombre,35,35-39,35-39,35 - 39,,Mayor,Camioneta,Honda,Gris,2011,2010-2019,Colisión
23,2023,1,3,00:00 a 05:59,0,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,,Hombre,,,,,,Mayor,Automóvil,Hyundai,Blanco,2016,2010-2019,Colisión
24,2023,1,2,00:00 a 05:59,0,Mañana,Enero,Domingo,Santa Rosa,Barberena,,Hombre,24,20-24,20-24,20 - 24,,Mayor,Motocicleta,Asia Hero,,2022,2020-2029,Colisión
25,2023,1,13,12:00 a 17:59,12,Tarde,Enero,Domingo,Suchitepéquez,Patulul,,Hombre,44,40-44,40-44,40 - 44,,Mayor,Camioneta,Hyundai,Gris,2011,2010-2019,Colisión
26,2023,1,13,12:00 a 17:59,12,Tarde,Enero,Domingo,Suchitepéquez,Patulul,,Hombre,,,,,,Mayor,Motocicleta,Honda,Negro,,,Colisión
27,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,Suchitepéquez,Patulul,,Hombre,51,50-54,50-54,50 - 54,,Mayor,Automóvil,Hyundai,Rojo,,,Colisión
28,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,Suchitepéquez,Patulul,,Hombre,40,40-44,40-44,40 - 44,,Mayor,Pick up,Nissan,Verde,1995,1990-1999,Colisión
29,2023,1,20,18:00 a 23:59,18,Noche,Enero,Domingo,Retalhuleu,Retalhuleu,,Hombre,34,30-34,30-34,30 - 34,,Mayor,Cuatrimoto,,Rojo,,,Vuelco
30,2023,1,11,06:00 a 11:59,6,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,,Hombre,38,35-39,35-39,35 - 39,,Mayor,Camioneta,Suzuki,Azul,,,Colisión
31,2023,1,11,06:00 a 11:59,6,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,,Mujer,44,40-44,40-44,40 - 44,,Mayor,Pick up,,Amarillo,,,Colisión
32,2023,1,15,12:00 a 17:59,12,Tarde,Enero,Domingo,San Marcos,Sibinal,,Hombre,,,,,,Mayor,Pick up,Toyota,Rojo,,,Embarrancó
33,2023,1,21,18:00 a 23:59,18,Noche,Enero,Domingo,San Marcos,San Cristóbal Cucho,,Hombre,50,50-54,50-54,50 - 54,,Mayor,Pick up,,,,,Embarrancó
34,2023,1,16,12:00 a 17:59,12,Tarde,Enero,Domingo,Baja Verapaz,San Jerónimo,,Hombre,25,25-29,25-29,25 - 29,No Ebrio,Mayor,Motocicleta,,,,,Derrape
35,2023,1,11,06:00 a 11:59,6,Mañana,Enero,Domingo,El Progreso,Guastatoya,,Hombre,28,25-29,25-29,25 - 29,,Mayor,Motocicleta,,Rojo,,,Derrape
36,2023,1,17,12:00 a 17:59,12,Tarde,Enero,Domingo,Izabal,Puerto Barrios,,Hombre,34,30-34,30-34,30 - 34,,Mayor,Cuatrimoto,Kawasaki,Verde,2003,2000-2009,Derrape
37,2023,1,3,00:00 a 05:59,0,Mañana,Enero,Domingo,Petén,Flores,,Hombre,17,15-19,15-19,15 - 19,,Menor,Motocicleta,Otros,Rojo,2020,2020-2029,Colisión
38,2023,1,3,00:00 a 05:59,0,Mañana,Enero,Domingo,Petén,Flores,,Hombre,,,,,,Mayor,Camioneta,,Negro,,,Colisión
39,2023,1,12,12:00 a 17:59,12,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,,Hombre,35,35-39,35-39,35 - 39,,Mayor,Camioneta,Hyundai,Gris,2001,2000-2009,Colisión
40,2023,1,12,12:00 a 17:59,12,Tarde,Enero,Domingo,Chimaltenango,Zaragoza,,Hombre,28,25-29,25-29,25 - 29,,Mayor,Motocicleta,Asia Hero,Rojo,,,Colisión
41,2023,2,11,06:00 a 11:59,6,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Mujer,32,30-34,30-34,30 - 34,,Mayor,Automóvil,Honda,Gris,2011,2010-2019,Colisión
42,2023,2,11,06:00 a 11:59,6,Mañana,Enero,Lunes,Guatemala,Guatemala,9,Hombre,41,40-44,40-44,40 - 44,,Mayor,Motocicleta,Suzuki,Azul,2018,2010-2019,Colisión
43,2023,2,20,18:00 a 23:59,18,Noche,Enero,Lunes,Guatemala,Guatemala,1,Hombre,36,35-39,35-39,35 - 39,,Mayor,Motocicleta,Benelli,Blanco,,,Choque
44,2023,2,7,06:00 a 11:59,6,Mañana,Enero,Lunes,Guatemala,San José Pinula,,Hombre,22,20-24,20-24,20 - 24,No Ebrio,Mayor,Motocicleta,Bajaj,Blanco,2021,2020-2029,Colisión
45,2023,2,7,06:00 a 11:59,6,Mañana,Enero,Lunes,Guatemala,San José Pinula,,Hombre,18,15-19,15-19,15 - 19,No Ebrio,Mayor,Motocicleta,Bajaj,Negro,,,Colisión
46,2023,2,6,06:00 a 11:59,6,Mañana,Enero,Lunes,Guatemala,Amatitlán,,Hombre,20,20-24,20-24,20 - 24,,Mayor,Motocicleta,TVS Apache,Azul,,,Derrape
47,2023,2,19,18:00 a 23:59,18,Noche,Enero,Lunes,Escuintla,Tiquisate,,Hombre,69,65-69,60 y más,65 - 69,,Mayor,Pick up,Isuzu,Negro,,,Choque
48,2023,2,8,06:00 a 11:59,6,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,,Mujer,40,40-44,40-44,40 - 44,,Mayor,Motocicleta,Honda,Negro,2021,2020-2029,Colisión
49,2023,2,8,06:00 a 11:59,6,Mañana,Enero,Lunes,Suchitepéquez,San Bernardino,,Hombre,,,,,,Mayor,Camión,Mercedes Benz,Blanco,1984,1980-1989,Colisión
50,2023,2,6,06:00 a 11:59,6,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,,Hombre,38,35-39,35-39,35 - 39,,Mayor,Pick up,Mazda,Gris,,,Vuelco
51,2023,2,12,12:00 a 17:59,12,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,,Hombre,33,30-34,30-34,30 - 34,,Mayor,Automóvil,Mazda,Café,,,Colisión
52,2023,2,12,12:00 a 17:59,12,Tarde,Enero,Lunes,Huehuetenango,Huehuetenango,,Hombre,26,25-29,25-29,25 - 29,,Mayor,Motocicleta,Suzuki,Azul,2019,2010-2019,Colisión
53,2023,2,7,06:00 a 11:59,6,Mañana,Enero,Lunes,Petén,Flores,,Hombre,49,45-49,45-49,45 - 49,,Mayor,Pick up,Toyota,Corinto,1984,1980-1989,Colisión
54,2023,2,7,06:00 a 11:59,6,Mañana,Enero,Lunes,Petén,Flores,,Hombre,,,,,,Mayor,Motocicleta,Yamaha,Negro,,,Colisión
55,2023,2,20,18:00 a 23:59,18,Noche,Enero,Lunes,Chimaltenango,San Andrés Itzapa,,Hombre,,,,,,Mayor,Motocicleta,Italika,Negro,2016,2010-2019,Derrape
56,2023,2,22,18:00 a 23:59,18,Noche,Enero,Lunes,Guatemala,Guatemala,12,Hombre,34,30-34,30-34,30 - 34,,Mayor,Motocicleta,Honda,Negro,2012,2010-2019,Derrape
57,2023,2,19,18:00 a 23:59,18,Noche,Enero,Lunes,Escuintla,Tiquisate,,Hombre,25,25-29,25-29,25 - 29,,Mayor,Motocicleta,Bajaj,Rojo,,,Colisión
58,2023,2,19,18:00 a 23:59,18,Noche,Enero,Lunes,Escuintla,Tiquisate,,Hombre,30,30-34,30-34,30 - 34,,Mayor,Motocicleta,Suzuki,Rojo,,,Colisión
59,2023,3,3,00:00 a 05:59,0,Mañana,Enero,Martes,Guatemala,Guatemala,9,Hombre,59,55-59,55-59,55 - 59,,Mayor,Automóvil,Hyundai,Gris,2013,2010-2019,Colisión
60,2023,3,3,00:00 a 05:59,0,Mañana,Enero,Martes,Guatemala,Guatemala,9,Hombre,,,,,,Mayor,Motocicleta,Suzuki,Negro,,,Colisión
61,2023,3,11,06:00 a 11:59,6,Mañana,Enero,Martes,Guatemala,Guatemala,1,Hombre,,,,,,Mayor,Taxi,,Blanco,,,Colisión
62,2023,3,11,06:00 a 11:59,6,Mañana,Enero,Martes,Guatemala,Guatemala,1,Mujer,44,40-44,40-44,40 - 44,,Mayor,Motocicleta,,,,,Colisión
63,2023,3,0,00:00 a 05:59,0,Mañana,Enero,Martes,Guatemala,Guatemala,10,Hombre,24,20-24,20-24,20 - 24,,Mayor,Automóvil,Volkswagen,Blanco,,,Colisión
64,2023,3,0,00:00 a 05:59,0,Mañana,Enero,Martes,Guatemala,Guatemala,10,Mujer,,,,,,Mayor,Automóvil,Toyota,Gris,1997,1990-1999,Colisión
65,2023,3,16,12:00 a 17:59,12,Tarde,Enero,Martes,Guatemala,Guatemala,12,Hombre,25,25-29,25-29,25 - 29,,Mayor,Motocicleta,Suzuki,Negro,2021,2020-2029,Colisión
66,2023,3,16,12:00 a 17:59,12,Tarde,Enero,Martes,Guatemala,Guatemala,12,Mujer,43,40-44,40-44,40 - 44,,Mayor,Automóvil,Mitsubishi,Corinto,2005,2000-2009,Colisión
67,2023,3,10,06:00 a 11:59,6,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Hombre,25,25-29,25-29,25 - 29,,Mayor,Bus urbano,Internacional,Blanco,,,Colisión
68,2023,3,10,06:00 a 11:59,6,Mañana,Enero,Martes,Guatemala,Villa Canales,1,Hombre,52,50-54,50-54,50 - 54,,Mayor,Motocicleta,Haojue,Negro,,,Colisión
69,2023,3,15,12:00 a 17:59,12,Tarde,Enero,Martes,Guatemala,Petapa,7,Hombre,38,35-39,35-39,35 - 39,,Mayor,Pick up,Ford,Corinto,2002,2000-2009,Colisión
70,2023,3,15,12:00 a 17:59,12,Tarde,Enero,Martes,Guatemala,Petapa,7,Hombre,24,20-24,20-24,20 - 24,,Mayor,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión
71,2023,3,19,18:00 a 23:59,18,Noche,Enero,Martes,Jutiapa,Moyuta,,Hombre,19,15-19,15-19,15 - 19,,Mayor,Motocicleta,Yamaha,Negro,2012,2010-2019,Colisión
72,2023,3,19,18:00 a 23:59,18,Noche,Enero,Martes,Jutiapa,Moyuta,,Hombre,,,,,,Mayor,Motocicleta,Honda,Blanco,,,Colisión
73,2023,3,13,12:00 a 17:59,12,Tarde,Enero,Martes,Chiquimula,San José la Arada,,Mujer,44,40-44,40-44,40 - 44,,Mayor,Microbús,Toyota,Blanco,2008,2000-2009,Vuelco
74,2023,3,9,06:00 a 11:59,6,Mañana,Enero,Martes,Zacapa,Estanzuela,,Hombre,25,25-29,25-29,25 - 29,,Mayor,Pick up,Toyota,Azul,,,Embarrancó
75,2023,3,17,12:00 a 17:59,12,Tarde,Enero,Martes,Escuintla,Nueva Concepción,,Hombre,,,,,,Mayor,Pick up,Nissan,Blanco,,,Colisión
76,2023,3,17,12:00 a 17:59,12,Tarde,Enero,Martes,Escuintla,Nueva Concepción,,Hombre,51,50-54,50-54,50 - 54,,Mayor,Motocicleta,,,,,Colisión
77,2023,3,10,06:00 a 11:59,6,Mañana,Enero,Martes,Petén,Dolores,,Hombre,,,,,,Mayor,Motocicleta,,Negro,,,Derrape
78,2023,3,15,12:00 a 17:59,12,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,,Hombre,39,35-39,35-39,35 - 39,,Mayor,Camión,Isuzu,Blanco,2022,2020-2029,Colisión
79,2023,3,15,12:00 a 17:59,12,Tarde,Enero,Martes,Chimaltenango,San Andrés Itzapa,,Hombre,43,40-44,40-44,40 - 44,,Mayor,Motocicleta,Asia Hero,Azul,2021,2020-2029,Colisión
80,2023,4,22,18:00 a 23:59,18,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Hombre,31,30-34,30-34,30 - 34,,Mayor,Automóvil,Toyota,Blanco,2010,2010-2019,Colisión
81,2023,4,22,18:00 a 23:59,18,Noche,Enero,Miércoles,Guatemala,Guatemala,1,Hombre,,,,,,Mayor,Motocicleta,Suzuki,Negro,2020,2020-2029,Colisión
82,2023,4,22,18:00 a 23:59,18,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Hombre,36,35-39,35-39,35 - 39,,Mayor,Camioneta,Toyota,Gris,2002,2000-2009,Colisión
83,2023,4,22,18:00 a 23:59,18,Noche,Enero,Miércoles,Guatemala,San José Pinula,4,Hombre,27,25-29,25-29,25 - 29,,Mayor,Motocicleta,Bajaj,Negro,2022,2020-2029,Colisión
84,2023,4,17,12:00 a 17:59,12,Tarde,Enero,Miércoles,Guatemala,Petapa,9,Hombre,28,25-29,25-29,25 - 29,,Mayor,Motocicleta,,,,,Colisión
85,2023,4,17,12:00 a 17:59,12,Tarde,Enero,Miércoles,Guatemala,Petapa,9,,,,,,,,Automóvil,,,,,Colisión
86,2023,4,23,18:00 a 23:59,18,Noche,Enero,Miércoles,Guatemala,Mixco,1,Hombre,39,35-39,35-39,35 - 39,,Mayor,Motocicleta,,,,,Derrape
87,2023,4,14,12:00 a 17:59,12,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,,Hombre,,,,,,Mayor,Bus urbano,Internacional,Azul,2002,2000-2009,Colisión
88,2023,4,14,12:00 a 17:59,12,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,,Hombre,42,40-44,40-44,40 - 44,,Mayor,Microbús,Toyota,Azul,2002,2000-2009,Colisión
89,2023,4,14,12:00 a 17:59,12,Tarde,Enero,Miércoles,Jutiapa,Jutiapa,,Hombre,34,30-34,30-34,30 - 34,,Mayor,Pick up,Toyota,Negro,,,Colisión
90,2023,4,15,12:00 a 17:59,12,Tarde,Enero,Miércoles,Escuintla,Escuintla,,Hombre,71,70-74,60 y más,70 - 74,,Mayor,Camioneta,Toyota,Café,2016,2010-2019,Choque
91,2023,4,16,12:00 a 17:59,12,Tarde,Enero,Miércoles,Escuintla,San José,,Hombre,62,60-64,60 y más,60 - 64,,Mayor,Camioneta,Audi,Gris,,,Colisión
92,2023,4,16,12:00 a 17:59,12,Tarde,Enero,Miércoles,Escuintla,San José,,Mujer,36,35-39,35-39,35 - 39,,Mayor,Motocicleta,Bajaj,Rojo,,,Colisión
93,2023,4,23,18:00 a 23:59,18,Noche,Enero,Miércoles,Santa Rosa,Barberena,,Hombre,42,40-44,40-44,40 - 44,,Mayor,Pick up,,Gris,2018,2010-2019,Colisión
94,2023,4,23,18:00 a 23:59,18,Noche,Enero,Miércoles,Santa Rosa,Barberena,,Hombre,21,20-24,20-24,20 - 24,,Mayor,Motocicleta,Kawasaki,Rojo,2009,2000-2009,Colisión
95,2023,4,13,12:00 a 17:59,12,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,,Hombre,54,50-54,50-54,50 - 54,,Mayor,Cabezal,Freightliner,Negro,,,Colisión
96,2023,4,13,12:00 a 17:59,12,Tarde,Enero,Miércoles,Santa Rosa,Guazacapán,,Hombre,,,,,,Mayor,Motocicleta,Bajaj,Rojo,2022,2020-2029,Colisión
97,2023,4,1,00:00 a 05:59,0,Mañana,Enero,Miércoles,Santa Rosa,Barberena,,Hombre,38,35-39,35-39,35 - 39,,Mayor,Automóvil,,Gris,2002,2000-2009,Colisión
98,2023,4,1,00:00 a 05:59,0,Mañana,Enero,Miércoles,Santa Rosa,Barberena,,Hombre,35,35-39,35-39,35 - 39,,Mayor,Automóvil,Hyundai,Gris,2007,2000-2009,Colisión
99,2023,4,17,12:00 a 17:59,12,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,,Hombre,42,40-44,40-44,40 - 44,,Mayor,Pick up,Toyota,Verde,1994,1990-1999,Colisión
100,2023,4,17,12:00 a 17:59,12,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,,Hombre,40,40-44,40-44,40 - 44,,Mayor,Camioneta,Mazda,Rojo,2018,2010-2019,Colisión
101,2023,4,17,12:00 a 17:59,12,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,,Hombre,22,20-24,20-24,20 - 24,,Mayor,Camioneta,Ford,Verde,2001,2000-2009,Colisión
102,2023,4,17,12:00 a 17:59,12,Tarde,Enero,Miércoles,Quetzaltenango,Colomba,,Hombre,63,60-64,60 y más,60 - 64,,Mayor,Automóvil,Hyundai,Azul,2007,2000-2009,Colisión
103,2023,4,9,06:00 a 11:59,6,Mañana,Enero,Miércoles,Alta Verapaz,San Pedro Carchá,,Hombre,39,35-39,35-39,35 - 39,,Mayor,Bus urbano,Toyota,Azul,2016,2010-2019,Vuelco
104,2023,4,6,06:00 a 11:59,6,Mañana,Enero,Miércoles,Izabal,Livingston,,Hombre,57,55-59,55-59,55 - 59,,Mayor,Motocicleta,Yamaha,Negro,,,Colisión
105,2023,4,9,06:00 a 11:59,6,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Mujer,21,20-24,20-24,20 - 24,,Mayor,Motocicleta,Italika,Anaranjado,,,Colisión
106,2023,4,9,06:00 a 11:59,6,Mañana,Enero,Miércoles,Quiché,Santa Cruz del Quiché,5,Hombre,38,35-39,35-39,35 - 39,,Mayor,Motocicleta,Italika,Negro,,,Colisión
107,2023,4,19,18:00 a 23:59,18,Noche,Enero,Miércoles,Sololá,Panajachel,,Hombre,29,25-29,25-29,25 - 29,,Mayor,Pick up,Toyota,Gris,,,Colisión
108,2023,4,19,18:00 a 23:59,18,Noche,Enero,Miércoles,Sololá,Panajachel,,Hombre,45,45-49,45-49,45 - 49,,Mayor,Motocicleta,Yamaha,Negro,,,Colisión
109,2023,4,12,12:00 a 17:59,12,Tarde,Enero,Miércoles,Sacatepéquez,Santo Domingo Xenacoj,3,Hombre,23,20-24,20-24,20 - 24,,Mayor,Motocicleta,Bajaj,Blanco,2020,2020-2029,Colisión
110,2023,4,12,12:00 a 17:59,12,Tarde,Enero,Miércoles,Sacatepéquez,Santo Domingo Xenacoj,3,Hombre,30,30-34,30-34,30 - 34,,Mayor,Automóvil,Mazda,Turquesa,1994,1990-1999,Colisión
111,2023,5,21,18:00 a 23:59,18,Noche,Enero,Jueves,Guatemala,Guatemala,1,Hombre,35,35-39,35-39,35 - 39,,Mayor,Motocicleta,Yamaha,Negro,2015,2010-2019,Derrape
112,2023,5,13,12:00 a 17:59,12,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Hombre,47,45-49,45-49,45 - 49,,Mayor,Automóvil,Mazda,Blanco,,,Colisión
113,2023,5,13,12:00 a 17:59,12,Tarde,Enero,Jueves,Guatemala,Villa Nueva,4,Hombre,27,25-29,25-29,25 - 29,,Mayor,Automóvil,Honda,Blanco,,,Colisión
114,2023,5,15,12:00 a 17:59,12,Tarde,Enero,Jueves,Guatemala,Villa Nueva,,Hombre,32,30-34,30-34,30 - 34,,Mayor,Camioneta,Nissan,Negro,,,Vuelco
115,2023,5,7,06:00 a 11:59,6,Mañana,Enero,Jueves,Guatemala,Mixco,4,Hombre,35,35-39,35-39,35 - 39,,Mayor,Camioneta,Nissan,Gris,2012,2010-2019,Colisión
116,2023,5,7,06:00 a 11:59,6,Mañana,Enero,Jueves,Guatemala,Mixco,4,Hombre,30,30-34,30-34,30 - 34,,Mayor,Motocicleta,Suzuki,Gris,2022,2020-2029,Colisión
117,2023,5,7,06:00 a 11:59,6,Mañana,Enero,Jueves,Guatemala,Guatemala,19,Mujer,39,35-39,35-39,35 - 39,,Mayor,Motocicleta,,,,,Colisión
118,2023,5,7,06:00 a 11:59,6,Mañana,Enero,Jueves,Guatemala,Guatemala,19,,,,,,,Mayor,Automóvil,,,,,Colisión
119,2023,5,9,06:00 a 11:59,6,Mañana,Enero,Jueves,Jutiapa,El Progreso,,Hombre,30,30-34,30-34,30 - 34,,Mayor,Camioneta,Honda,Rojo,1999,1990-1999,Colisión
120,2023,5,9,06:00 a 11:59,6,Mañana,Enero,Jueves,Jutiapa,El Progreso,,Hombre,23,20-24,20-24,20 - 24,,Mayor,Motocicleta,,,,,Colisión
121,2023,5,6,06:00 a 11:59,6,Mañana,Enero,Jueves,Escuintla,Escuintla,,Hombre,32,30-34,30-34,30 - 34,,Mayor,Automóvil,,,,,Colisión
122,2023,5,6,06:00 a 11:59,6,Mañana,Enero,Jueves,Escuintla,Escuintla,,Hombre,63,60-64,60 y más,60 - 64,,Mayor,Motocicleta,TVS Apache,Rojo,,,Colisión
123,2023,5,9,06:00 a 11:59,6,Mañana,Enero,Jueves,Escuintla,Escuintla,,Hombre,23,20-24,20-24,20 - 24,,Mayor,Motocicleta,Haojue,Azul,,,Colisión
124,2023,5,9,06:00 a 11:59,6,Mañana,Enero,Jueves,Escuintla,Escuintla,,Hombre,16,15-19,15-19,15 - 19,,Menor,Motocicleta,Honda,Negro,,,Colisión
125,2023,5,20,18:00 a 23:59,18,Noche,Enero,Jueves,Escuintla,La Democracia,,Hombre,23,20-24,20-24,20 - 24,,Mayor,Motocicleta,Bajaj,Negro,,,Colisión
126,2023,5,20,18:00 a 23:59,18,Noche,Enero,Jueves,Escuintla,La Democracia,,Hombre,,,,,,Mayor,Cabezal,Freightliner,Corinto,2000,2000-2009,Colisión
127,2023,5,3,00:00 a 05:59,0,Mañana,Enero,Jueves,Escuintla,Escuintla,,Hombre,28,25-29,25-29,25 - 29,,Mayor,Automóvil,,,,,Derrape
128,2023,5,7,06:00 a 11:59,6,Mañana,Enero,Jueves,Quetzaltenango,Coatepeque,,Hombre,18,15-19,15-19,15 - 19,,Mayor,Motocicleta,Bajaj,Rojo,,,Colisión
129,2023,5,7,06:00 a 11:59,6,Mañana,Enero,Jueves,Quetzaltenango,Coatepeque,,Hombre,,,,,,Mayor,Camioneta,Toyota,Gris,,,Colisión
130,2023,5,11,06:00 a 11:59,6,Mañana,Enero,Jueves,Huehuetenango,Huehuetenango,1,Hombre,53,50-54,50-54,50 - 54,,Mayor,Camioneta,Toyota,Rojo,,,Colisión
131,2023,5,11,06:00 a 11:59,6,Mañana,Enero,Jueves,Huehuetenango,Huehuetenango,1,Mujer,32,30-34,30-34,30 - 34,,Mayor,Motocicleta,Serpento,Rojo,,,Colisión
132,2023,5,16,12:00 a 17:59,12,Tarde,Enero,Jueves,Alta Verapaz,Cobán,,Mujer,18,15-19,15-19,15 - 19,,Mayor,Motocicleta,Otros,Blanco,2021,2020-2029,Colisión
133,2023,5,16,12:00 a 17:59,12,Tarde,Enero,Jueves,Alta Verapaz,Cobán,,Hombre,35,35-39,35-39,35 - 39,,Mayor,Cuatrimoto,,,,,Colisión
134,2023,6,1,00:00 a 05:59,0,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Hombre,30,30-34,30-34,30 - 34,,Mayor,Cabezal,Freightliner,Rojo,2013,2010-2019,Colisión
135,2023,6,1,00:00 a 05:59,0,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Hombre,,,,,,Mayor,Automóvil,,,,,Colisión
136,2023,6,1,00:00 a 05:59,0,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Hombre,27,25-29,25-29,25 - 29,,Mayor,Motocicleta,,,,,Colisión
137,2023,6,1,00:00 a 05:59,0,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Hombre,,,,,,Mayor,,,,,,Colisión
138,2023,6,7,06:00 a 11:59,6,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Hombre,22,20-24,20-24,20 - 24,,Mayor,Motocicleta,,,,,Colisión
139,2023,6,7,06:00 a 11:59,6,Mañana,Enero,Viernes,Guatemala,Guatemala,18,Hombre,,,,,,Mayor,,,,,,Colisión
